Instance name,Lower bound,Upper bound,Time,Optimal,Gap
E-n76-k7.vrp,671,686,3600.01,0,0.0218659
E-n30-k3.vrp,503,503,8.053,1,0
E-n22-k4.vrp,375,375,0.518,1,0
E-n33-k4.vrp,835,835,45.49,1,0
E-n13-k4.vrp,247,247,0.169,1,0
E-n31-k7.vrp,379,379,1.723,1,0
E-n101-k8.vrp,797,819,3600.01,0,0.026862
E-n76-k10.vrp,802,849,3600.01,0,0.0553592
E-n76-k8.vrp,718,742,3600.02,0,0.032345
E-n101-k14.vrp,1028,1095,3600.02,0,0.0611872
E-n76-k14.vrp,980,1036,3600.01,0,0.0540541
E-n51-k5.vrp,521,521,117.792,1,0
